,Food,Food Type,Calories,Grams,Protein,Fat,Fiber,Carbs
0,Cows' milk,Dairy,680.0,120.0,32.0,40.0,0.0,48.0
1,Milk skim,Dairy,352.0,88.0,36.0,0.0,0.0,52.0
2,Buttermilk,Dairy,133.0,27.0,9.0,5.0,0.0,13.0
3,"Evaporated, undiluted",Dairy,340.0,60.0,16.0,20.0,0.0,24.0
4,Fortified milk,Dairy,1215.6,251.4,89.0,42.0,1.4,119.0
5,Powdered milk,Dairy,516.0,94.0,27.0,28.0,0.0,39.0
6,"skim, instant",Dairy,288.0,72.0,30.0,0.0,0.0,42.0
7,"skim, non-instant",Dairy,292.0,73.0,30.0,0.0,1.0,42.0
8,Goats' milk,Dairy,166.0,29.0,8.0,10.0,0.0,11.0
9,Skim. milk,Dairy,164.0,36.0,18.0,4.0,1.0,13.0
10,Cornstarch,Dairy,286.0,59.0,9.0,10.0,0.0,40.0
11,Ice milk,Dairy,254.0,51.0,9.0,10.0,0.0,32.0
12,Cheese,Dairy,243.0,47.0,30.0,11.0,0.0,6.0
13,uncreamed,Dairy,176.0,44.0,38.0,0.0,0.0,6.0
14,Cheddar,Dairy,70.0,10.0,4.0,6.0,0.0,0.0
15,"Cheddar, grated cup",Dairy,231.0,34.0,14.0,19.0,0.0,1.0
16,Cream cheese,Dairy,111.0,14.0,2.0,11.0,0.0,1.0
17,Roquefort type,Dairy,105.0,15.0,6.0,9.0,0.0,0.0
18,Swiss,Dairy,100.0,15.0,7.0,8.0,0.0,0.0
19,Bean soups,Soup,199.4,43.6,8.0,5.0,0.6,30.0
20,Beef soup,Soup,106.0,21.5,6.0,4.0,0.5,11.0
21,Bouillon,Soup,20.0,5.0,5.0,0.0,0.0,0.0
22,chicken soup,Soup,74.0,16.0,4.0,2.0,0.0,10.0
23,Clam chowder,Soup,88.0,19.5,5.0,2.0,0.5,12.0
24,Cream soups,Soup,212.8,38.2,7.0,12.0,1.2,18.0
25,Split-pea soup,Soup,161.0,36.5,8.0,3.0,0.5,25.0
26,Tomato soup,Soup,177.0,35.5,6.0,7.0,0.5,22.0
27,Vegetable,Soup,90.0,20.0,4.0,2.0,0.0,14.0
28,Bran flakes,Grains,140.4,35.1,3.0,0.0,0.1,32.0
29,"Bread, cracked wheat",Grains,65.4,15.1,2.0,1.0,0.1,12.0
30,Rye,Grains,65.4,15.1,2.0,1.0,0.1,12.0
31,Rye whole-wheat,Grains,1452.0,345.5,48.0,14.0,67.5,216.0
32,Rye whole-wheat slice,Grains,62.24,14.31,2.0,1.0,0.31,11.0
33,Corn bread ground meal,Grains,109.2,22.3,3.0,4.0,0.3,15.0
34,Corn grits cooked,Grains,140.8,35.2,8.0,0.0,0.2,27.0
35,Corn meal,Grains,374.4,88.6,9.0,4.0,1.6,74.0
36,Farina,Grains,132.0,33.0,3.0,0.0,8.0,22.0
37,Flour,Grains,497.6,96.9,39.0,22.0,2.9,33.0
38,Wheat (all purpose),Grains,394.2,97.3,12.0,1.0,0.3,84.0
39,Wheat (whole),Grains,397.2,96.8,13.0,2.0,2.8,79.0
40,Oatmeal,Grains,169.4,38.6,5.0,3.0,4.6,26.0
41,Rice,Grains,707.8,173.2,15.0,3.0,1.2,154.0
42,Rice flakes,Grains,112.4,28.1,2.0,0.0,0.1,26.0
43,Rice polish,Grains,194.8,41.2,6.0,6.0,1.2,28.0
44,Wheat germ,Grains,277.0,60.5,17.0,7.0,2.5,34.0
45,Wheat-germ cereal toasted,Grains,297.0,65.5,20.0,7.0,2.5,36.0
46,Wheat meal cereal unrefined,Grains,127.8,30.7,4.0,1.0,0.7,25.0
47,"Wheat, cooked",Grains,214.6,52.4,12.0,1.0,4.4,35.0
48,Almonds,Nuts,453.2,65.8,13.0,38.0,1.8,13.0
49,roasted and salted,Nuts,471.2,67.8,13.0,40.0,1.8,13.0
50,Brazil nuts,Nuts,499.0,66.0,10.0,47.0,2.0,7.0
51,Cashews,Nuts,419.6,64.9,12.0,32.0,0.9,20.0
52,coconut sweetened,Nuts,296.0,49.0,1.0,20.0,2.0,26.0
53,Peanut butter,Nuts,312.6,46.9,12.0,25.0,0.9,9.0
54,"Peanut butter, natural",Nuts,303.6,45.9,13.0,24.0,0.9,8.0
55,Peanuts,Nuts,317.8,48.2,13.0,25.0,1.2,9.0
56,Pecans,Nuts,367.4,48.1,5.0,35.0,1.1,7.0
57,Sesame seeds,Nuts,304.4,46.1,9.0,24.0,3.1,10.0
58,Sunflower seeds,Nuts,329.6,49.9,12.0,26.0,1.9,10.0
59,Walnuts,Nuts,352.0,48.0,7.0,32.0,1.0,8.0
60,Artichoke,Vegetables,56.0,14.0,2.0,0.0,2.0,10.0
61,Asparagus,Vegetables,18.0,4.5,1.0,0.0,0.5,3.0
62,Beans,Vegetables,31.2,7.8,1.0,0.0,0.8,6.0
63,Lima,Vegetables,140.0,35.0,8.0,0.0,3.0,24.0
64,"Lima, dry, cooked",Vegetables,264.0,66.0,16.0,0.0,2.0,48.0
65,"Navy, baked with pork",Vegetables,254.0,56.0,11.0,6.0,2.0,37.0
66,Red kidney,Vegetables,247.0,60.5,15.0,1.0,2.5,42.0
67,Bean sprouts,Vegetables,17.2,4.3,1.0,0.0,0.3,3.0
68,Beet greens,Vegetables,37.6,9.4,2.0,0.0,1.4,6.0
69,Beetroots,Vegetables,51.2,12.8,12.0,0.0,0.0,0.8
70,Broccoli,Vegetables,59.6,14.9,5.0,0.0,1.9,8.0
71,Brussels sprouts,Vegetables,78.8,19.7,6.0,0.0,1.7,12.0
72,Sauerkraut,Vegetables,36.8,9.2,1.0,0.0,1.2,7.0
73,Steamed cabbage,Vegetables,50.0,12.3,2.0,0.0,1.5,9.0
74,Carrots,Vegetables,47.6,11.9,1.0,0.0,0.9,10.0
75,"Raw, grated",Vegetables,48.8,12.2,1.0,0.0,1.2,10.0
76,"Strips, from raw",Vegetables,22.0,5.5,0.0,0.0,0.5,5.0
77,Cauliflower,Vegetables,40.0,10.0,3.0,0.0,1.0,6.0
78,Celery,Vegetables,24.0,6.0,1.0,0.0,1.0,4.0
79,Stalk raw,Vegetables,9.2,2.3,1.0,0.0,0.3,1.0
80,Chard steamed,Vegetables,41.6,10.4,2.0,0.0,1.4,7.0
81,Collards,Vegetables,60.0,15.0,5.0,0.0,2.0,8.0
82,Corn,Vegetables,108.2,25.8,3.0,1.0,0.8,21.0
83,cooked or canned,Vegetables,190.4,47.6,5.0,0.0,1.6,41.0
84,Cucumbers,Vegetables,4.8,1.2,0.0,0.0,0.2,1.0
85,Dandelion greens,Vegetables,105.8,25.2,5.0,1.0,3.2,16.0
86,Eggplant,Vegetables,48.0,12.0,2.0,0.0,1.0,9.0
87,Endive,Vegetables,14.4,3.6,1.0,0.0,0.6,2.0
88,Kale,Vegetables,60.6,13.9,4.0,1.0,0.9,8.0
89,Kohlrabi,Vegetables,50.0,12.5,2.0,0.0,1.5,9.0
90,"Lambs quarters, steamed",Vegetables,60.8,15.2,5.0,0.0,3.2,7.0
91,Lentils,Vegetables,221.6,55.4,15.0,0.0,2.4,38.0
92,Lettuce,Vegetables,14.0,3.5,1.0,0.0,0.5,2.0
93,Iceberg,Vegetables,14.0,3.5,0.0,0.0,0.5,3.0
94,Mushrooms canned,Vegetables,24.0,6.0,2.0,0.0,0.0,4.0
95,Mustard greens,Vegetables,40.8,10.2,3.0,0.0,1.2,6.0
96,Okra,Vegetables,36.0,9.0,1.0,0.0,1.0,7.0
97,Onions,Vegetables,86.4,21.6,2.0,0.0,1.6,18.0
98,"Raw, green",Vegetables,24.0,6.0,0.0,0.0,1.0,5.0
99,Parsley,Vegetables,0.0,0.0,0.0,0.0,0.0,0.0
100,Parsnips,Vegetables,117.0,28.0,2.0,1.0,3.0,22.0
101,Peas,Vegetables,64.4,16.1,3.0,0.0,0.1,13.0
102,"Fresh, steamed peas",Vegetables,76.8,19.2,5.0,0.0,2.2,12.0
103,Frozen peas,Vegetables,75.2,18.8,5.0,0.0,1.8,12.0
104,Split cooked peas,Vegetables,117.6,29.4,8.0,0.0,0.4,21.0
105,heated peas,Vegetables,56.0,14.0,3.0,0.0,1.0,10.0
106,Peppers canned,Vegetables,8.0,2.0,0.0,0.0,0.0,2.0
107,"Peppers Raw, green, sweet",Vegetables,33.6,8.4,1.0,0.0,1.4,6.0
108,Peppers with beef and crumbs,Vegetables,257.0,53.0,19.0,9.0,1.0,24.0
109,"Potatoes, baked",Vegetables,98.0,24.5,2.0,0.0,0.5,22.0
110,French-fried,Vegetables,148.6,26.4,1.0,7.0,0.4,20.0
111,Potatoes Mashed with milk and butter,Vegetables,238.8,44.7,4.0,12.0,0.7,28.0
112,"Potatoes, pan-tried",Vegetables,275.6,51.4,4.0,14.0,0.4,33.0
113,Scalloped with cheese potatoes,Vegetables,153.6,28.4,6.0,8.0,0.4,14.0
114,Steamed potatoes before peeling,Vegetables,85.6,21.4,2.0,0.0,0.4,19.0
115,Potato chips,Vegetables,107.0,18.0,1.0,7.0,0.0,10.0
116,Radishes,Vegetables,9.2,2.3,0.0,0.0,0.3,2.0
117,Rutabagas,Vegetables,37.6,9.4,0.0,0.0,1.4,8.0
118,Soybeans,Vegetables,279.8,56.2,22.0,11.0,3.2,20.0
119,Spinach,Vegetables,28.0,7.0,3.0,0.0,1.0,3.0
120,Squash,Vegetables,38.4,9.6,1.0,0.0,0.6,8.0
121,"Winter, mashed",Vegetables,118.4,29.6,4.0,0.0,2.6,23.0
122,Sweet potatoes,Vegetables,165.0,40.0,2.0,1.0,1.0,36.0
123,Candied,Vegetables,388.0,89.5,2.0,6.0,1.5,80.0
124,Tomatoes,Vegetables,48.0,12.0,2.0,0.0,1.0,9.0
125,Tomato juice,Vegetables,50.4,12.6,2.0,0.0,0.6,10.0
126,Tomato catsup,Vegetables,16.0,4.0,0.0,0.0,0.0,4.0
127,Turnip greens,Vegetables,64.2,14.8,4.0,1.0,1.8,8.0
128,"Turnips, steamed",Vegetables,47.2,11.8,1.0,0.0,1.8,9.0
129,"Watercress stems, raw",Vegetables,9.2,2.3,1.0,0.0,0.3,1.0
130,Apple juice canned,Fruits,136.0,34.0,0.0,0.0,0.0,34.0
131,Apple vinegar,Fruits,12.0,3.0,0.0,0.0,0.0,3.0
132,"Apples, raw",Fruits,76.0,19.0,0.0,0.0,1.0,18.0
133,Stewed or canned,Fruits,112.0,28.0,0.0,0.0,2.0,26.0
134,Apricots,Fruits,240.0,60.0,2.0,0.0,1.0,57.0
135,"Dried, uncooked",Fruits,220.0,55.0,4.0,0.0,1.0,50.0
136,Fresh,Fruits,62.8,15.7,1.0,0.0,0.7,14.0
137,"Nectar, or juice",Fruits,156.0,39.0,1.0,0.0,2.0,36.0
138,Avocado,Fruits,201.2,27.8,2.0,18.0,1.8,6.0
139,Banana,Fruits,99.6,24.9,1.0,0.0,0.9,23.0
140,Blackberries,Fruits,119.4,28.6,2.0,1.0,6.6,19.0
141,Blueberries,Fruits,272.0,68.0,1.0,0.0,2.0,65.0
142,Cantaloupe,Fruits,48.8,12.2,1.0,0.0,2.2,9.0
143,Cherries,Fruits,129.0,31.0,2.0,1.0,2.0,26.0
144,"Fresh, raw cherries",Fruits,67.2,16.8,1.0,0.0,0.8,15.0
145,Cranberry sauce sweetened,Fruits,572.8,143.2,0.0,0.0,1.2,142.0
