City,Country,Latitude,Longitude,Population,Elevation,Timezone,GMT_offset
"'Afak",Iraq,32.0643,45.24743,21888,25,Asia/Baghdad,3
"'Ain Abid",Algeria,36.23194,6.94333,29486,868,Africa/Algiers,1
"'Ain Benian",Algeria,36.80277,2.92185,31102,30,Africa/Algiers,1
"'Ain Deheb",Algeria,34.84218,1.54697,36146,1081,Africa/Algiers,1
"'Ain Merane",Algeria,36.16277,0.97037,34413,504,Africa/Algiers,1
"'Ain el Bell",Algeria,34.34381,3.22475,31916,1008,Africa/Algiers,1
"'Ain el Berd",Algeria,35.36395,-0.51279,16548,483,Africa/Algiers,1
"'Ain el Hammam",Algeria,36.56471,4.30619,28029,841,Africa/Algiers,1
"'Ain el Melh",Algeria,34.84146,4.16383,39798,930,Africa/Algiers,1
"'Ain el Turk",Algeria,35.74381,-0.7693,45323,31,Africa/Algiers,1
"'Ajlun",Jordan,32.33326,35.75279,125557,769,Asia/Amman,2
"'Ali Sabieh",Djibouti,11.15583,42.7125,55000,699,Africa/Djibouti,3
"'Ali al Gharbi",Iraq,32.46186,46.68794,19711,14,Asia/Baghdad,3
"'Amran",Yemen,15.6594,43.94385,90792,2239,Asia/Aden,3
"'Anah",Iraq,34.36857,41.98194,27000,177,Asia/Baghdad,3
"'Anat al Qadimah",Iraq,34.46934,41.94223,19719,171,Asia/Baghdad,3
"'Aqrah",Iraq,36.76038,43.89428,23000,754,Asia/Baghdad,3
"'Ar'ara",Israel,32.49553,35.09411,24904,163,Asia/Jerusalem,2
"'Ar'ara BaNegev",Israel,31.16046,35.02274,17640,437,Asia/Jerusalem,2
"'Ayn al 'Arab",Syria,36.89095,38.35347,50000,514,Asia/Damascus,2
"'Ewa Gentry",United States,21.33999,-158.03039,22690,14,Pacific/Honolulu,-10
"'s-Gravenzande",Netherlands,52.00167,4.16528,19190,3,Europe/Amsterdam,1
"'s-Hertogenbosch",Netherlands,51.69917,5.30417,134520,7,Europe/Amsterdam,1
A Coruna,Spain,43.37135,-8.396,246056,22,Europe/Madrid,1
A Estrada,Spain,42.68911,-8.48842,21880,301,Europe/Madrid,1
AEngelholm,Sweden,56.2428,12.86219,23240,11,Europe/Stockholm,1
Aabenraa,Denmark,55.04434,9.41741,16344,16,Europe/Copenhagen,1
Aachen,Germany,50.77664,6.08342,265208,178,Europe/Berlin,1
Aalborg,Denmark,57.048,9.9187,122219,10,Europe/Copenhagen,1
Aalen,Germany,48.83777,10.0933,67085,433,Europe/Berlin,1
Aalsmeer,Netherlands,52.25917,4.75972,22991,-4,Europe/Amsterdam,1
Aalst,Belgium,50.93604,4.0355,77534,12,Europe/Brussels,1
Aalten,Netherlands,51.925,6.58056,19141,27,Europe/Amsterdam,1
Aalter,Belgium,51.09017,3.44693,18802,17,Europe/Brussels,1
Aarau,Switzerland,47.39254,8.04422,15501,389,Europe/Zurich,1
Aarschot,Belgium,50.98715,4.83695,27656,14,Europe/Brussels,1
Aba,Nigeria,5.10658,7.36667,897560,64,Africa/Lagos,1
Abadan,Iran,30.3392,48.3043,370180,6,Asia/Tehran,3.5
Abadan,Turkmenistan,38.05415,58.19721,39481,228,Asia/Ashgabat,5
Abadeh,Iran,31.1608,52.6506,59116,2006,Asia/Tehran,3.5
Abaete,Brazil,-19.16,-45.44583,20370,639,America/Sao_Paulo,-3
Abaetetuba,Brazil,-1.71806,-48.8825,78050,9,America/Belem,-3
Abakaliki,Nigeria,6.32485,8.11368,134102,65,Africa/Lagos,1
Abakan,Russia,53.71556,91.42917,167289,248,Asia/Krasnoyarsk,7
Abancay,Peru,-13.63389,-72.88139,55111,2410,America/Lima,-5
Abano Terme,Italy,45.35753,11.78725,18224,12,Europe/Rome,1
Abashiri,Japan,44.02127,144.26971,42498,4,Asia/Tokyo,9
Abasolo,Mexico,20.44997,-101.53073,27389,1712,America/Mexico_City,-6
Abay,Kazakhstan,49.63575,72.86164,35454,503,Asia/Almaty,6
Abaza,Russia,52.655,90.09278,18094,455,Asia/Krasnoyarsk,7
Abbeville,France,50.10521,1.83547,26461,10,Europe/Paris,1
Abbiategrasso,Italy,45.39821,8.91678,30659,126,Europe/Rome,1
Abbotsford,Canada,49.05798,-122.25257,151683,114,America/Vancouver,-8
Abbottabad,Pakistan,34.1463,73.21168,120000,1241,Asia/Karachi,5
Abdanan,Iran,32.9926,47.4198,19360,889,Asia/Tehran,3.5
Abdulino,Russia,53.7,53.66667,21195,205,Asia/Yekaterinburg,5
Abeche,Chad,13.82916,20.8324,74188,545,Africa/Ndjamena,1
Abengourou,Ivory Coast,6.72972,-3.49639,104020,197,Africa/Abidjan,0
Abeokuta,Nigeria,7.15571,3.34509,593100,64,Africa/Lagos,1
Abepura,Indonesia,-2.5964,140.6324,62248,85,Asia/Jayapura,9
Aberdare,United Kingdom,51.71438,-3.44918,31135,135,Europe/London,0
Aberdeen,United Kingdom,57.14369,-2.09814,196670,13,Europe/London,0
Aberdeen,United States,39.50956,-123.81572,15580,25,America/Chicago,-5
Abergele,United Kingdom,53.28436,-3.5822,17769,18,Europe/London,0
Aberystwyth,United Kingdom,52.41548,-4.08292,18749,10,Europe/London,0
Abha,Saudi Arabia,18.21639,42.50528,210886,2228,Asia/Riyadh,3
Abhar,Iran,36.1468,49.218,69889,1541,Asia/Tehran,3.5
Abhayapuri,India,26.32255,90.68526,15802,44,Asia/Kolkata,5.5
Abidjan,Ivory Coast,5.35444,-4.00167,3677115,50,Africa/Abidjan,0
Abiko,Japan,35.86667,140.01667,131771,10,Asia/Tokyo,9
Abilene,United States,32.44874,-99.73314,121721,525,America/Chicago,-6
Abingdon,United Kingdom,51.67109,-1.28278,38676,57,Europe/London,0
Abington,United States,40.12067,-70.94532,15985,109,America/New_York,-5
Abinsk,Russia,44.86803,38.15728,34668,28,Europe/Moscow,3
Abnub,Egypt,27.26881,31.15232,68749,55,Africa/Cairo,2
Abobo,Ivory Coast,5.41613,-4.0159,900000,105,Africa/Abidjan,0
Abohar,India,30.14453,74.19552,130603,187,Asia/Kolkata,5.5
Aboisso,Ivory Coast,5.46779,-3.20711,37654,12,Africa/Abidjan,0
Abomey,Benin,7.18286,1.99119,82154,228,Africa/Porto-Novo,1
Abomey-Calavi,Benin,6.44852,2.35566,385755,11,Africa/Porto-Novo,1
Abomsa,Ethiopia,9.98333,39.98333,15258,1300,Africa/Addis_Ababa,3
Abony,Hungary,47.1899,20.00476,16342,91,Europe/Budapest,1
Abou el Hassan,Algeria,36.41657,1.19616,24022,189,Africa/Algiers,1
Abovyan,Armenia,40.27368,44.63348,35673,1423,Asia/Yerevan,4
Abqaiq,Saudi Arabia,25.93402,49.6688,29474,103,Asia/Riyadh,3
Abrama,India,20.85865,72.90648,21000,14,Asia/Kolkata,5.5
Abreu e Lima,Brazil,-7.91167,-34.90278,81959,30,America/Recife,-3
Abreus,Cuba,22.27797,-80.56931,16711,29,America/Havana,-5
Abrisham,Iran,32.55613,51.57325,20000,1608,Asia/Tehran,3.5
Abu,India,24.59365,72.71756,24981,1181,Asia/Kolkata,5.5
Abu Dhabi,United Arab Emirates,24.45118,54.39696,603492,6,Asia/Dubai,4
Abu Ghurayb,Iraq,33.30563,44.18477,900000,42,Asia/Baghdad,3
Abu Jibeha,Sudan,11.4562,31.2285,21790,573,Africa/Khartoum,2
Abu Kabir,Egypt,30.72508,31.67148,100684,17,Africa/Cairo,2
Abu Qurqas,Egypt,27.93043,30.83826,61182,54,Africa/Cairo,2
Abu Road,India,24.48012,72.78186,50262,263,Asia/Kolkata,5.5
Abu Tij,Egypt,27.04514,31.31845,71257,70,Africa/Cairo,2
Abu Zabad,Sudan,12.35,29.25,15304,559,Africa/Khartoum,2
Abu `Arish,Saudi Arabia,16.96887,42.83251,49171,69,Asia/Riyadh,3
Abu al Matamir,Egypt,30.91018,30.17438,41302,0,Africa/Cairo,2
Abucay,Philippines,14.73347,120.53358,35508,6,Asia/Manila,8
Abuja,Nigeria,9.05785,7.49508,590400,476,Africa/Lagos,1
Aburi,Ghana,5.84802,-0.17449,18399,447,Africa/Accra,0
Abuyog,Philippines,10.747,125.0107,15632,6,Asia/Manila,8
Abyek,Iran,36.06667,50.55,55128,1454,Asia/Tehran,3.5
Acacias,Colombia,3.98695,-73.75797,40627,530,America/Bogota,-5
